date,open,close,high,low,volume,MA5,macd_line,signal_line,rsi_14,target,pred,actual
2025-02-21,3938.052,-0.4625366631874097,3927.787,3978.444,1.1767641143137495,-0.5048844434275572,0.3529217193704747,0.146314444151178,1.5835024521674057,0.0037422306890044,-0.0022602789103984833,0.0037422305904328823
2025-02-24,3972.483,-0.436384303607043,3949.231,3969.717,1.0654207481725375,-0.4907806670259592,0.4185235971270553,0.2057962298596028,1.631976252246335,-0.0101382751418561,-0.0005346052348613739,-0.010138275101780891
2025-02-25,3933.636,-0.5075001843507535,3915.653,3925.651,0.3439038363545481,-0.494298335502253,0.4052753040853069,0.2505570571160437,1.1128066535227503,0.0012377908467187,0.00044517964124679565,0.0012377907987684011
2025-02-26,3931.842,-0.4989056110855187,3925.366,3959.941,0.5627803470225916,-0.4884328548594303,0.3969980566331922,0.2846009690077367,1.1570675149775658,0.0034345622713258,-0.0014723315834999084,0.0034345623571425676
2025-02-27,3961.064,-0.4750282856047736,3933.461,3968.116,0.7625897992801394,-0.4767223185183878,0.4054784134421976,0.3136441523495381,0.7112166548879459,-0.0003651295492724,-0.0021122395992279053,-0.0003651295555755496
2025-02-28,3950.187,-0.4775754109740245,3886.399,3890.049,0.6817598363864366,-0.4797392236977268,0.4049139473206036,0.3367583520664581,0.9014375115548188,-0.0106925621544823,-0.0027296356856822968,-0.010692561976611614
2025-03-03,3899.696,-0.5521389514180874,3872.587,3888.474,0.3357020168012701,-0.5029606249386195,0.3371005375548174,0.3407915589687765,0.3039090258113211,-0.0100714884586661,-0.0020428523421287537,-0.010071488097310066
2025-03-04,3865.994,-0.6216205291164689,3855.725,3885.221,-0.1335521967066345,-0.525854170603236,0.2216179391501937,0.319396665881395,-0.2679303301311544,0.0041118911460549,-0.0029286332428455353,0.004111891146749258
2025-03-05,3887.799,-0.5935389546630445,3877.019,3902.571,0.015167543793081,-0.5448384523019554,0.1516167403664217,0.287356151149096,-0.2955777123587172,0.0148660372243545,-0.004000551998615265,0.014866037294268608
2025-03-06,3923.383,-0.491596010783958,3917.083,3956.237,0.6117535299524094,-0.5481620838045334,0.1797572682658632,0.2677234384736849,0.2190820532855547,0.0006507766186554,-0.003466859459877014,0.0006507766083814204
2025-03-07,3944.915,-0.487067007715268,3935.046,3944.014,0.1516852752683448,-0.5500661816573034,0.2030804236098184,0.2569898798945018,0.1289440434504963,-0.0045194518680519,-0.001461327075958252,-0.004519451875239611
2025-03-10,3945.58,-0.5185400681875726,3905.127,3928.802,-0.0843111866401067,-0.5433259499387871,0.1922841382312197,0.2461012118281781,-0.1033097238141767,-0.0019571324932358,-0.0012912936508655548,-0.0019571324810385704
2025-03-11,3890.431,-0.5321077676906365,3889.43,3941.416,-0.2196665371903288,-0.5253689020918395,0.1698388774388417,0.2326048372550696,0.0131136494597638,0.0030945731178844,-0.0020898543298244476,0.00309457303956151
2025-03-12,3946.862,-0.5106968179120273,3921.474,3927.232,-0.017283301800707,-0.5087500402705121,0.1677470158735944,0.2213617424106716,0.1427684986729751,-0.0036240269343509,-0.0025548338890075684,-0.003624026896432042
2025-03-13,3925.744,-0.5358485837911714,3897.376,3911.579,-0.0205907498184722,-0.5176274959336292,0.1427227169619469,0.2070319627890468,-0.3541981346357014,0.019007002539801,-0.002339746803045273,0.0190070029348135
2025-03-14,3919.616,-0.4044127017116732,3919.616,4006.557,0.986486594537936,-0.5010463146135496,0.2308439606615528,0.2143560221522081,0.1724426719005093,0.0018855755340034,-0.0025410056114196777,0.0018855755915865302
2025-03-17,4020.64,-0.3911258706159695,3992.256,3996.788,0.0751529824192129,-0.4754859050615591,0.3078954453242538,0.2366430255697023,0.5942996362510263,-0.001207192530176,-0.0005971230566501617,-0.001207192544825375
2025-03-18,4011.779,-0.3996484713518186,3995.96,4007.723,-0.2964766430343372,-0.448913404289142,0.3571744055225301,0.2649791452646071,0.5117844957540109,0.0020976515812174,-0.0003536827862262726,0.002097651595249772
2025-03-19,4004.825,-0.3848572388491897,3989.512,4010.168,-0.2253264404956305,-0.4236688770700419,0.403611150452021,0.297548583691238,0.4752548491956927,-0.0032934199422204,-0.0018940865993499756,-0.0032934199552983046
2025-03-20,4011.059,-0.4081289418265638,3969.926,3974.992,-0.4055240052452614,-0.3980471926842485,0.4154907024516938,0.3261369134130729,0.3610059643917168,-0.0072018189241288,-0.002927221357822418,-0.007201818749308586
2025-03-21,3966.515,-0.4588502653408008,3904.767,3914.696,0.1377104638332715,-0.408967847115957,0.3772262745559234,0.3408494127514203,0.4932036575410956,-0.0112888097554999,-0.003651946783065796,-0.011288809590041637
2025-03-24,3916.114,-0.5377830649468676,3907.2,3934.849,-0.0932757838263189,-0.4383885711976431,0.2765409154946952,0.3311527979015907,0.439421169587434,0.0020755764777817,-0.0027176961302757263,0.0020755764562636614
2025-03-25,3937.898,-0.5234342001858315,3921.529,3932.295,-0.2919669044519549,-0.4632210779825376,0.2060335543566711,0.3083629894530936,0.3815813384213311,-0.0010974678672001,-0.002463430166244507,-0.0010974678443744779
2025-03-26,3930.207,-0.5310369568875747,3916.861,3919.357,-0.4492942181394797,-0.4925460161171252,0.1416330717641597,0.2764006427014687,-0.205455393748388,0.0027800425466499,-0.002665270119905472,0.002780042588710785
