date,open,close,high,low,volume,MA5,macd_line,signal_line,rsi_14,target
2020-01-21,4165.02,-0.13958714669397462,4113.325,4114.309,-0.4600519104870037,-0.11383303209082506,0.00393756582975707,0.008897200897113624,-0.07428718218193746,-0.005724582354946883
2020-01-22,4093.801,-0.1814418056733475,4046.487,4131.931,-0.5237306635318251,-0.1323887421071299,-0.055631717674105394,-0.005229812571514911,-0.35942765142262567,-0.009092342587626479
2020-01-23,4093.323,-0.2475389190630321,3972.393,4003.901,0.043973652535401996,-0.1576628502804786,-0.15735197630370837,-0.03821868335068608,-0.6329069915674463,-0.09049953162208879
2020-02-03,3639.909,-0.8994467805398717,3639.909,3688.358,-0.003302137264668316,-0.31432604907086936,-0.7803761730100499,-0.19744160644549674,-1.8829744465840899,0.014658011439497187
2020-02-04,3652.004,-0.8034143612081817,3652.004,3785.638,0.9492183073785703,-0.4548707971826695,-1.179832952498489,-0.409986097209443,-1.489321938938133,0.020900676892720904
2020-02-05,3801.099,-0.6644757817970628,3781.613,3828.527,0.2901211870284498,-0.5601680775338642,-1.3637302036840333,-0.6192294892723651,-1.0125370109037113,0.012649731208731696
2020-02-06,3841.754,-0.5786283530872869,3806.96,3899.775,0.31608629377761094,-0.6398471950414358,-1.4210032015648453,-0.7988350880796896,-0.8502212477784993,-0.003839419246650322
2020-02-07,3879.553,-0.6050141845312718,3849.713,3899.869,-0.10177330981575639,-0.7115598798459638,-1.472186218030416,-0.9534320382581042,-0.9574958267481632,0.005200923924916667
2020-02-10,3872.374,-0.5694088476156743,3861.007,3916.005,-0.157950774068009,-0.6453513654573406,-1.4662216135863455,-1.0758379153640065,-0.9707433078224718,0.01284511603714833
2020-02-11,3926.42,-0.4810142935366467,3915.708,3952.464,-0.2418471050736932,-0.5806750740680525,-1.3714463549641953,-1.1535560652428112,-0.8263930620383401,0.0035035695558418567
2020-02-12,3945.666,-0.45659454094418606,3940.667,3984.433,-0.5245491659705679,-0.5389722673506984,-1.2616204502601887,-1.1923151614868102,-0.693092268874973,0.003794015359274594
2020-02-13,3985.876,-0.43005774273124436,3950.142,3959.919,-0.21548563916908786,-0.5091676951721916,-1.1394855361722873,-1.1972826734134958,-0.5790699493442082,0.0005033066219950477
2020-02-14,3954.234,-0.4265240670811386,3954.023,3987.734,-0.24525802753377834,-0.47336100651456203,-1.0283175352889145,-1.1775551177819574,-0.5778748153206413,0.018963340074865664
2020-02-17,3999.651,-0.29331695860772317,3999.651,4077.424,0.42281727482483156,-0.41797454337681283,-0.8186678932484374,-1.117074737291466,-0.31434587445248846,-0.0002594761524739031
2020-02-18,4069.832,-0.29517420095139535,4027.786,4057.511,0.0926123345614628,-0.3806933850114808,-0.6470943205545295,-1.0321101023827766,-0.257687729261785,0.002154358221052588
2020-02-19,4049.586,-0.2797580362423886,4042.845,4051.311,0.19078499584990133,-0.34521842562651794,-0.4928759259857219,-0.9312582733716536,-0.15421349084379948,0.015509513679969444
2020-02-20,4062.897,-0.1685359023551253,4055.811,4144.656,0.9204822855054104,-0.2927548424920975,-0.27396746260994176,-0.8039044478789285,0.17850543350294645,0.008655839214333438
2020-02-21,4134.875,-0.105500254605671,4130.168,4149.49,1.0046436388213147,-0.2283546400091449,-0.04712989545758584,-0.6536585012333251,2.509736233548842,-0.008466608897060968
2020-02-24,4131.836,-0.16769154170549783,4097.175,4132.839,0.9312399609563894,-0.20315307560455284,0.07870906858827431,-0.506632257158773,2.098318979273397,-0.0053752581941235444
2020-02-25,4066.302,-0.20684108683647837,4020.908,4123.854,1.4600769515236516,-0.18543267539161026,0.14323514988741187,-0.37525398364361096,1.7267060992555234,0.0014718754028635317
2020-02-26,4070.099,-0.19617861992204963,4061.125,4073.015,1.7460717604440363,-0.168665908799028,0.2006061578363185,-0.25791958344538096,1.6143010091662724,-0.005384750514302428
2020-02-27,4084.078,-0.23524390453082078,4067.441,4084.876,0.39767541844359217,-0.18204812120944416,0.2101705117737757,-0.16201289593302745,1.532241761066715,-0.019312117567378273
2020-02-28,3988.727,-0.37459500941525076,3928.066,3940.049,1.2253376770549147,-0.23603089763716173,0.09838273967975056,-0.10912124936985866,0.7147083649425114,0.015229916066030968
2020-03-02,3968.844,-0.2668222906558854,3968.844,4069.666,1.0401256232305072,-0.2559173984405219,0.09926187174772136,-0.06662049683363884,0.7638440863916365,0.013466945580726364
2020-03-03,4125.136,-0.17007365688542508,4067.909,4091.362,1.0410755132041096,-0.24854152835983725,0.179192266223332,-0.015578341130006652,0.9274500283203153,-0.007809476829426343
2020-03-04,4078.5,-0.22693371052803912,4060.729,4115.052,0.41683185957777724,-0.2547112702463787,0.19180803902889376,0.027945128314351565,0.6452183608202722,0.024442915177697033
2020-03-05,4150.21,-0.050357009103050514,4127.039,4206.725,1.2514939006259376,-0.2176213316210242,0.3465746823546345,0.09576091428853158,0.9805424650489609,-0.008193126369978265
2020-03-06,4158.202,-0.11099123196957075,4135.39,4138.507,0.24872791251564802,-0.164740093584921,0.4127620722400884,0.16412502049418226,0.5262013549420687,-0.028276784070064287
2020-03-09,4063.076,-0.31854245244379936,3995.131,3997.133,0.8506896020913458,-0.17511561328829878,0.2860478443916965,0.19180020814818713,-0.019385320985552398,0.007365355705874155
2020-03-10,3975.229,-0.2660095277020861,3954.751,4082.732,0.6701393219623178,-0.1943611934162313,0.22694154451721274,0.20133860410228463,0.06269514389458951,-0.0004231612884626479
2020-03-11,4090.935,-0.2690499282117648,4028.396,4028.429,0.06591395154714831,-0.20281007739693468,0.17504705146747876,0.19790515942199605,-0.20625130369132735,-0.02537989426266163
2020-03-12,3976.114,-0.4513265028786279,3926.27,3950.911,-0.011736706726985556,-0.28324808724271966,-0.0203557615534896,0.15349756178999308,-0.7103919571122974,-0.012602841827601408
2020-03-13,3771.014,-0.5395420033479634,3765.148,3895.313,0.516048237354874,-0.3692191441502261,-0.24737999201731747,0.06956879989584294,-0.7498236471689275,-0.009479117165301698
2020-03-16,3899.86,-0.6050563147923756,3720.513,3727.84,0.47670527410975816,-0.42669634687589875,-0.4776250558425654,-0.04666359093986951,-0.7881449684890431,-0.028967450113593807
2020-03-17,3739.783,-0.803365209236893,3618.307,3709.682,0.14346939778952636,-0.534494626478131,-0.8187182020938242,-0.21237224191134982,-1.0596733959999984,-0.0029153202455522997
2020-03-18,3729.685,-0.8227451293447763,3636.257,3636.257,-0.045916913713889576,-0.645570757534699,-1.0932777112821066,-0.40347660196198964,-1.0385569165841282,-0.03386362438560209
2020-03-19,3623.789,-1.0472011170870221,3503.187,3589.093,0.3895046885333366,-0.7651084501237905,-1.4839197960796806,-0.6396469059794803,-1.12597044290266,0.004376386209709704
2020-03-20,3629.513,-1.0191757163150692,3588.777,3653.224,-0.3067074335188135,-0.8613271947538055,-1.7501123941140044,-0.8853367218107371,-1.3341661117977182,-0.021329700825775122
2020-03-23,3542.684,-1.1563641344628224,3523.788,3530.306,-0.3488509653246151,-0.9719243960748887,-2.053802751268707,-1.1466368539741825,-1.7109384874347546,0.011701151290883116
2020-03-24,3598.655,-1.0827099054875897,3545.452,3625.115,-0.2475691707684944,-1.0279634009772356,-2.207253965476428,-1.3883935141585766,-1.4634352012655802,0.028914544764412353
2020-03-25,3711.475,-0.8985743330495081,3685.994,3722.518,-0.07196444181015006,-1.0431754067005785,-2.1489416877197622,-1.5693663775622213,-1.4428670167042477,0.0009644612117811757
2020-03-26,3692.608,-0.8922547938838941,3681.267,3698.047,-0.7678536032988608,-1.0120918104049523,-2.0739458426225954,-1.6981551848353897,-1.37658195228247,0.006029836301279401
2020-03-27,3746.391,-0.8527067666999717,3709.921,3710.061,-0.5693136222693306,-0.9786966738271763,-1.9589714189143104,-1.776673117392169,-1.0550860775714568,-0.018129272160696597
